npi,entity_type,provider_type,provider_tags,org_or_person_name,address,address2,city,state,zip,phone,taxonomy_primary,taxonomy_all,address_full,lat,lon,geocode_status,place_id
1023011079,2,HCBS,HCBS,"ADVANTAGE HOME HEALTH CARE, INC.",425 E. US RT. 6,SUITE F,Morris,IL,60450,8154671905.0,251E00000X,251E00000X,"425 E. US RT. 6 SUITE F, Morris, IL 60450",41.3889466,-88.4137571,OK,EiE0MjUgVVMtNiBmLCBNb3JyaXMsIElMIDYwNDUwLCBVU0EiHRobChYKFAoSCTn-xEp2mQ6IEZpn2alqSul5EgFm
1003819228,2,HCBS,HCBS,"HALLMARK GROUP, INC.",113 MALL DR,,Danville,VA,24540,4347993938.0,251E00000X,251E00000X,"113 MALL DR, Danville, VA 24540",36.5922654,-79.4239377,OK,ChIJAx3P7AqzUogRTPwCC3Dw0D0
1487657540,2,HCBS,HCBS,"TRANQUILITY HOME CARE, INC",4231 GATE CRST,,San Antonio,TX,78217,2109670100.0,251E00000X,251E00000X,"4231 GATE CRST, San Antonio, TX 78217",29.53896599999999,-98.4239055,OK,ChIJbcWUuxaLXIYRXcDjZjJK-EU
1487657235,2,HCBS,HCBS,ANTELOPE VALLEY HOSPITAL DISTRICT,44335 LOWTREE AVE,,Lancaster,CA,93534,6619495938.0,251E00000X,251E00000X,"44335 LOWTREE AVE, Lancaster, CA 93534",34.6887339,-118.1545535,OK,ChIJeVEpQdlawoAR8awu-_Cxx_g
1851394829,2,HCBS,HCBS,COUNTY OF HENRY,110 N BURR BLVD,,Kewanee,IL,61443,3098520197.0,376J00000X,251K00000X;253Z00000X;261QF0050X;261QM0801X;261QP0905X;376J00000X,"110 N BURR BLVD, Kewanee, IL 61443",41.2438386,-89.9229716,OK,ChIJ-1itsisCCogRAeeP7Ay9DMA
1447253943,2,HCBS,HCBS,"HOME HEALTH CARE MANAGEMENT, INC.",1398 RIDGEWOOD DR,,Chico,CA,95973,5303430727.0,251E00000X,171M00000X;171W00000X;251E00000X;251X00000X,"1398 RIDGEWOOD DR, Chico, CA 95973",39.7754888,-121.8389266,OK,ChIJC1jCA2rYgoARQGguckD-8PE
1770586257,2,HCBS,HCBS,"VISITING NURSE COMMUNITY CARE OF THE WEST COAST, INC.",5650 BRECKENRIDGE PARK DR STE 216,,Tampa,FL,33610,8132845499.0,251E00000X,251E00000X,"5650 BRECKENRIDGE PARK DR STE 216, Tampa, FL 33610",27.9974515,-82.3599448,OK,ChIJDW9TQszIwogRlma4q56buVE
1487657854,2,HCBS,HCBS,"QUALITY HOME HEALTH CARE, INC.",1515 S SAM RAYBURN FWY,,Sherman,TX,75090,9038929281.0,251E00000X,251E00000X;3747P1801X,"1515 S SAM RAYBURN FWY, Sherman, TX 75090",33.6194007,-96.6097983,OK,ChIJ1b08UJ1iTIYRggRldvi5TUo
1710980040,2,HCBS,HCBS,SU CASA HEALTH CARE SERVICES LLC,9220 MCCOMBS ST,,El Paso,TX,79924,9157811882.0,251E00000X,251E00000X,"9220 MCCOMBS ST, El Paso, TX 79924",31.8736874,-106.4056394,OK,ChIJ_d9gMRtR54YR9CNEV7PZM4s
1982606240,2,HCBS,HCBS,"A & A HOMECARE, INC.",211 N HIGHWAY 71,,Wewahitchka,FL,32465,8506393333.0,251E00000X,251E00000X,"211 N HIGHWAY 71, Wewahitchka, FL 32465",30.1148916,-85.19990829999999,OK,ChIJz2QZ1Sdfk4gRWZIca4Is2Tw
